MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,VIETNAM," 15,192.00 "," 1,096,920.23 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,PHILIPPINES," 63,645.80 "," 2,437,469.38 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,SPAIN," 63,633.10 "," 2,200,987.01 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,UNITED STATES, 64.30 ," 2,687.78 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,VIETNAM," 5,004.00 "," 109,320.89 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,NETHERLANDS," 7,920.00 "," 365,523.84 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,THAILAND," 9,500.00 "," 115,577.00 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,UNITED STATES," 21,732.80 "," 705,147.27 "
304870099,OTHER FROZEN FISH FILLETS OF TUNA NES,KGM,NEW TAIWAN, 479.00 ," 2,122.27 "
304870099,OTHER FROZEN FISH FILLETS OF TUNA NES,KGM,VIETNAM, 398.00 ," 6,127.21 "
304890011,MARLIN LOIN(FROZEN),KGM,JAPAN," 11,610.00 "," 499,566.69 "
305391011,"TUNA FILLET (DRIED,SALTED,IN BRINE BUT NOT SMOKED)",KGM,SRI LANKA," 3,200.00 "," 49,280.00 "
305491010,SKIPJACK (SMOKED),KGM,JAPAN," 11,375.00 "," 1,734,528.98 "
305491010,SKIPJACK (SMOKED),KGM,SRI LANKA," 192,175.00 "," 14,425,531.05 "
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,SRI LANKA," 7,809.00 "," 506,612.52 "
